Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Qref_Deltas,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vref_pu_t,Vref_pu_v,Qref_MVAr_v,Qref_MVAr_t,Q_Ctrl_Mode_v
,,s52513_QC_QrefSteps_002,d50%,VAR,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,1226,0,"[0.5, 20]","[-235.0, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,1.0,1,0.9169971458773769,1226,0,0,20,,,"[158.0, -77.0, -77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_003,d50%,VAR,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,876,350,"[0.5, 20]","[-235.0, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,1.0,1,0.9169971458773769,876,350,0,20,,,"[158.0, -77.0, -77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_004,d50%,VAR,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,0,-350,"[0.5, 20]","[-235.0, 0]",CSR_S52513,0.8713964646301905,,2528,10,1.025,1.0,1,0.8713964646301905,0,-350,0,20,,,"[158.0, -77.0, -77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_005,u50%,VAR,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,1226,0,"[0.5, 20]","[235.0, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-1.0,1,1.273050583566357,1226,0,0,20,,,"[-158.0, 77.0, 77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_006,u50%,VAR,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,876,350,"[0.5, 20]","[235.0, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-1.0,1,1.273050583566357,876,350,0,20,,,"[-158.0, 77.0, 77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_007,u50%,VAR,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,0,-350,"[0.5, 20]","[235.0, 0]",CSR_S52513,1.2445001130787745,,2528,10,1.05,-1.0,1,1.2445001130787745,0,-350,0,20,,,"[-158.0, 77.0, 77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_008,Sat(u50%),VAR,PPOC_VPOC_VREF,2528,10,1.039475618263017,1.0262499999999999,0.9,1226,0,"[0.5, 20]","[235.0, 0]",CSR_S52513,0.9346582168969512,,2528,10,1.0262499999999999,0.9,1,0.9346582168969512,1226,0,0,20,,,"[142.20000000000002, 377.20000000000005, 377.20000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_009,Sat(u50%),VAR,PPOC_VPOC_VREF,2528,10,1.039475618263017,1.0262499999999999,0.9,876,350,"[0.5, 20]","[235.0, 0]",CSR_S52513,0.9346582168969512,,2528,10,1.0262499999999999,0.9,1,0.9346582168969512,876,350,0,20,,,"[142.20000000000002, 377.20000000000005, 377.20000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_010,Sat(u50%),VAR,PPOC_VPOC_VREF,2528,10,1.039475618263017,1.0262499999999999,0.9,0,-350,"[0.5, 20]","[235.0, 0]",CSR_S52513,0.8902441259341541,,2528,10,1.0262499999999999,0.9,1,0.8902441259341541,0,-350,0,20,,,"[142.20000000000002, 377.20000000000005, 377.20000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_011,Sat(d50%),VAR,PPOC_VPOC_VREF,2528,10,1.035524381736983,1.04875,-0.9,1226,0,"[0.5, 20]","[-235.0, 0]",CSR_S52513,1.2552481418396007,,2528,10,1.04875,-0.9,1,1.2552481418396007,1226,0,0,20,,,"[-142.20000000000002, -377.20000000000005, -377.20000000000005]","[0, 0.5, 20]",2
