Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Grid_hz,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Grid_Hz_t,Grid_Hz_v,Grid_Hz_r
,,s5253_GridHz_002,UnderFreq,Droop,,-1,-1,1.039695131403352,1.025,1,1226,0,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]",CSR_S5253,1.025,,-1,-1,1.025,1,1,1.039695131403352,1.025,1226,0,1,10,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]","[true, true, true, true, true]"
,,s5253_GridHz_003,UnderFreq,Droop,,-1,-1,1.039695131403352,1.025,1,876,350,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]",CSR_S5253,1.025,,-1,-1,1.025,1,1,1.039695131403352,1.025,876,350,1,10,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]","[true, true, true, true, true]"
,,s5253_GridHz_004,UnderFreq,Droop,,-1,-1,1.039695131403352,1.025,1,0,-350,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]",CSR_S5253,1.025,,-1,-1,1.025,1,1,1.039695131403352,1.025,0,-350,1,10,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]","[true, true, true, true, true]"
,,s5253_GridHz_005,UnderFreq,Droop,,-1,-1,1.0375,1.0375,0,1226,0,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]",CSR_S5253,1.0375,,-1,-1,1.0375,0,1,1.0375,1.0375,1226,0,1,10,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]","[true, true, true, true, true]"
,,s5253_GridHz_006,UnderFreq,Droop,,-1,-1,1.0375,1.0375,0,876,350,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]",CSR_S5253,1.0375,,-1,-1,1.0375,0,1,1.0375,1.0375,876,350,1,10,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]","[true, true, true, true, true]"
,,s5253_GridHz_007,UnderFreq,Droop,,-1,-1,1.0375,1.0375,0,0,-350,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]",CSR_S5253,1.0375,,-1,-1,1.0375,0,1,1.0375,1.0375,0,-350,1,10,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]","[true, true, true, true, true]"
,,s5253_GridHz_008,UnderFreq,Droop,,-1,-1,1.035304868596648,1.05,-1,1226,0,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]",CSR_S5253,1.05,,-1,-1,1.05,-1,1,1.035304868596648,1.05,1226,0,1,10,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]","[true, true, true, true, true]"
,,s5253_GridHz_009,UnderFreq,Droop,,-1,-1,1.035304868596648,1.05,-1,876,350,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]",CSR_S5253,1.05,,-1,-1,1.05,-1,1,1.035304868596648,1.05,876,350,1,10,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]","[true, true, true, true, true]"
,,s5253_GridHz_010,UnderFreq,Droop,,-1,-1,1.035304868596648,1.05,-1,0,-350,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]",CSR_S5253,1.05,,-1,-1,1.05,-1,1,1.035304868596648,1.05,0,-350,1,10,"[0, 1, 1.25, 1.91334, 10]","[50, 50, 49, 47.01, 47.01]","[true, true, true, true, true]"
,,s5253_GridHz_011,OverFreq,Droop,,-1,-1,1.039695131403352,1.025,1,1226,0,"[0, 1, 1.25, 1.5833, 10]","[50, 50, 51, 51.99, 51.99]",CSR_S5253,1.025,,-1,-1,1.025,1,1,1.039695131403352,1.025,1226,0,1,10,"[0, 1, 1.25, 1.5833, 10]","[50, 50, 51, 51.99, 51.99]","[true, true, true, true, true]"
