Grouping,Key Tests,PLQ Test Id,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,DistLevel,DistDuration,PostDistDuration,Base_Title,File_Name,Title,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vpoc_disturbance_pu_t,Vpoc_disturbance_pu_v,Vpoc_disturbance_pu_r
,,1,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,1.0147,1.0,1,1226,0,0.9,20.0,0,plq_id01_cuo_pwind400_pbess0_qmax_vpoc1.0_to_0.9,S5254_VProfile_002,S5254_VProfile_002 :plq_id01_cuo_pwind400_pbess0_qmax_vpoc1.0_to_0.9,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_002""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Dist. Level"",""0.9""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,1,1,1.0147,1.0,1226,0,1,21.0,"[1, 21.0, 21.0]","[-0.09999999999999998, 0, 0]","[""false"", ""false"", ""false""]"
,,1,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,1.0147,1.0,1,876,350,0.9,20.0,0,plq_id01_cuo_pwind296_pbess104_qmax_vpoc1.0_to_0.9,S5254_VProfile_003,S5254_VProfile_003 :plq_id01_cuo_pwind296_pbess104_qmax_vpoc1.0_to_0.9,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_003""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Dist. Level"",""0.9""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,1,1,1.0147,1.0,876,350,1,21.0,"[1, 21.0, 21.0]","[-0.09999999999999998, 0, 0]","[""false"", ""false"", ""false""]"
,,1,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,1.0147,1.0,1,1226,0,1.1,20.0,0,plq_id01_cuo_pwind400_pbess0_qmax_vpoc1.0_to_1.1,S5254_VProfile_004,S5254_VProfile_004 :plq_id01_cuo_pwind400_pbess0_qmax_vpoc1.0_to_1.1,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_004""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Dist. Level"",""1.1""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,1,1,1.0147,1.0,1226,0,1,21.0,"[1, 21.0, 21.0]","[0.10000000000000009, 0, 0]","[""false"", ""false"", ""false""]"
,,1,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,1.0147,1.0,1,876,350,1.1,20.0,0,plq_id01_cuo_pwind296_pbess104_qmax_vpoc1.0_to_1.1,S5254_VProfile_005,S5254_VProfile_005 :plq_id01_cuo_pwind296_pbess104_qmax_vpoc1.0_to_1.1,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_005""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Dist. Level"",""1.1""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,1,1,1.0147,1.0,876,350,1,21.0,"[1, 21.0, 21.0]","[0.10000000000000009, 0, 0]","[""false"", ""false"", ""false""]"
,,2,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,0.9853,1.0,-1,1226,0,0.9,20.0,0,plq_id02_cuo_pwind400_pbess0_qmin_vpoc1.0_to_0.9,S5254_VProfile_006,S5254_VProfile_006 :plq_id02_cuo_pwind400_pbess0_qmin_vpoc1.0_to_0.9,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_006""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""-1""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Dist. Level"",""0.9""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,-1,1,0.9853,1.0,1226,0,1,21.0,"[1, 21.0, 21.0]","[-0.09999999999999998, 0, 0]","[""false"", ""false"", ""false""]"
,,2,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,0.9853,1.0,-1,876,350,0.9,20.0,0,plq_id02_cuo_pwind296_pbess104_qmin_vpoc1.0_to_0.9,S5254_VProfile_007,S5254_VProfile_007 :plq_id02_cuo_pwind296_pbess104_qmin_vpoc1.0_to_0.9,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_007""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""-1""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Dist. Level"",""0.9""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,-1,1,0.9853,1.0,876,350,1,21.0,"[1, 21.0, 21.0]","[-0.09999999999999998, 0, 0]","[""false"", ""false"", ""false""]"
,,2,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,0.9853,1.0,-1,1226,0,1.1,20.0,0,plq_id02_cuo_pwind400_pbess0_qmin_vpoc1.0_to_1.1,S5254_VProfile_008,S5254_VProfile_008 :plq_id02_cuo_pwind400_pbess0_qmin_vpoc1.0_to_1.1,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_008""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""-1""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Dist. Level"",""1.1""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,-1,1,0.9853,1.0,1226,0,1,21.0,"[1, 21.0, 21.0]","[0.10000000000000009, 0, 0]","[""false"", ""false"", ""false""]"
,,2,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,0.9853,1.0,-1,876,350,1.1,20.0,0,plq_id02_cuo_pwind296_pbess104_qmin_vpoc1.0_to_1.1,S5254_VProfile_009,S5254_VProfile_009 :plq_id02_cuo_pwind296_pbess104_qmin_vpoc1.0_to_1.1,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_009""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""-1""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Dist. Level"",""1.1""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,-1,1,0.9853,1.0,876,350,1,21.0,"[1, 21.0, 21.0]","[0.10000000000000009, 0, 0]","[""false"", ""false"", ""false""]"
,,3,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,1.0147,1.0,1,0,-350,0.9,20.0,0,plq_id03_cuo_pwind0_pbess-104_qmax_vpoc1.0_to_0.9,S5254_VProfile_010,S5254_VProfile_010 :plq_id03_cuo_pwind0_pbess-104_qmax_vpoc1.0_to_0.9,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_010""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""0""],[""Pbess [MW]"",""-350""],[""t=0"",""steady-state""],[""Dist. Level"",""0.9""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,1,1,1.0147,1.0,0,-350,1,21.0,"[1, 21.0, 21.0]","[-0.09999999999999998, 0, 0]","[""false"", ""false"", ""false""]"
,,3,PLQ S5.2.5.4,Droop,PPOC_VPOC_VREF,-1,-1,1.0147,1.0,1,0,-350,1.1,20.0,0,plq_id03_cuo_pwind0_pbess-104_qmax_vpoc1.0_to_1.1,S5254_VProfile_011,S5254_VProfile_011 :plq_id03_cuo_pwind0_pbess-104_qmax_vpoc1.0_to_1.1,CSR_S5254,1.0,,"[[""Filename/Int. Ref."",""S5254_VProfile_011""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0000""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""0""],[""Pbess [MW]"",""-350""],[""t=0"",""steady-state""],[""Dist. Level"",""1.1""],[""Dist. Dur."",""20.0""]]",-1,-1,1.0,1,1,1.0147,1.0,0,-350,1,21.0,"[1, 21.0, 21.0]","[0.10000000000000009, 0, 0]","[""false"", ""false"", ""false""]"
