Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Delta_Vpoc,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Vpoc_disturbance_pu_t,Vpoc_disturbance_pu_v,Infinite_Grid_v,Post_Init_Duration_s
,,s5254_VpocPyramid_002,HVRT Pyramid,Droop,,-1,-1,1.039695131403352,1.025,1,1226,0,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.3250000000000002, 0.27500000000000013, 0.2250000000000001, 0.17500000000000004, 0.125, 0.07500000000000018, 0.07500000000000018]",CSR_S5254,1.025,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_002""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Test Type"",""HVRT Pyramid""]]",-1,-1,1.025,1,1,1.039695131403352,1.025,1226,0,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.3250000000000002, 0.27500000000000013, 0.2250000000000001, 0.17500000000000004, 0.125, 0.07500000000000018, 0.07500000000000018]",1,51
,,s5254_VpocPyramid_003,HVRT Pyramid,Droop,,-1,-1,1.039695131403352,1.025,1,876,350,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.3250000000000002, 0.27500000000000013, 0.2250000000000001, 0.17500000000000004, 0.125, 0.07500000000000018, 0.07500000000000018]",CSR_S5254,1.025,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_003""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Test Type"",""HVRT Pyramid""]]",-1,-1,1.025,1,1,1.039695131403352,1.025,876,350,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.3250000000000002, 0.27500000000000013, 0.2250000000000001, 0.17500000000000004, 0.125, 0.07500000000000018, 0.07500000000000018]",1,51
,,s5254_VpocPyramid_004,HVRT Pyramid,Droop,,-1,-1,1.039695131403352,1.025,1,0,-350,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.3250000000000002, 0.27500000000000013, 0.2250000000000001, 0.17500000000000004, 0.125, 0.07500000000000018, 0.07500000000000018]",CSR_S5254,1.025,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_004""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""0""],[""Pbess [MW]"",""-350""],[""t=0"",""steady-state""],[""Test Type"",""HVRT Pyramid""]]",-1,-1,1.025,1,1,1.039695131403352,1.025,0,-350,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.3250000000000002, 0.27500000000000013, 0.2250000000000001, 0.17500000000000004, 0.125, 0.07500000000000018, 0.07500000000000018]",1,51
,,s5254_VpocPyramid_005,HVRT Pyramid,Droop,,-1,-1,1.035304868596648,1.05,-1,1226,0,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.30000000000000004, 0.25, 0.19999999999999996, 0.1499999999999999, 0.09999999999999987, 0.050000000000000044, 0.050000000000000044]",CSR_S5254,1.05,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_005""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Test Type"",""HVRT Pyramid""]]",-1,-1,1.05,-1,1,1.035304868596648,1.05,1226,0,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.30000000000000004, 0.25, 0.19999999999999996, 0.1499999999999999, 0.09999999999999987, 0.050000000000000044, 0.050000000000000044]",1,51
,,s5254_VpocPyramid_006,HVRT Pyramid,Droop,,-1,-1,1.035304868596648,1.05,-1,876,350,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.30000000000000004, 0.25, 0.19999999999999996, 0.1499999999999999, 0.09999999999999987, 0.050000000000000044, 0.050000000000000044]",CSR_S5254,1.05,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_006""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Test Type"",""HVRT Pyramid""]]",-1,-1,1.05,-1,1,1.035304868596648,1.05,876,350,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.30000000000000004, 0.25, 0.19999999999999996, 0.1499999999999999, 0.09999999999999987, 0.050000000000000044, 0.050000000000000044]",1,51
,,s5254_VpocPyramid_007,HVRT Pyramid,Droop,,-1,-1,1.035304868596648,1.05,-1,0,-350,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.30000000000000004, 0.25, 0.19999999999999996, 0.1499999999999999, 0.09999999999999987, 0.050000000000000044, 0.050000000000000044]",CSR_S5254,1.05,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_007""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1""],[""Pwind [MW]"",""0""],[""Pbess [MW]"",""-350""],[""t=0"",""steady-state""],[""Test Type"",""HVRT Pyramid""]]",-1,-1,1.05,-1,1,1.035304868596648,1.05,0,-350,"[1, 1.02, 1.2, 3, 21, 41, 51]","[0.30000000000000004, 0.25, 0.19999999999999996, 0.1499999999999999, 0.09999999999999987, 0.050000000000000044, 0.050000000000000044]",1,51
,,s5254_VpocPyramid_008,LVRT Pyramid,Droop,,-1,-1,1.039695131403352,1.025,1,1226,0,"[1, 3, 11, 21]","[-0.32499999999999996, -0.22499999999999987, -0.12499999999999989, -0.12499999999999989]",CSR_S5254,1.025,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_008""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Test Type"",""LVRT Pyramid""]]",-1,-1,1.025,1,1,1.039695131403352,1.025,1226,0,"[1, 3, 11, 21]","[-0.32499999999999996, -0.22499999999999987, -0.12499999999999989, -0.12499999999999989]",1,21
,,s5254_VpocPyramid_009,LVRT Pyramid,Droop,,-1,-1,1.039695131403352,1.025,1,876,350,"[1, 3, 11, 21]","[-0.32499999999999996, -0.22499999999999987, -0.12499999999999989, -0.12499999999999989]",CSR_S5254,1.025,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_009""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Test Type"",""LVRT Pyramid""]]",-1,-1,1.025,1,1,1.039695131403352,1.025,876,350,"[1, 3, 11, 21]","[-0.32499999999999996, -0.22499999999999987, -0.12499999999999989, -0.12499999999999989]",1,21
,,s5254_VpocPyramid_010,LVRT Pyramid,Droop,,-1,-1,1.039695131403352,1.025,1,0,-350,"[1, 3, 11, 21]","[-0.32499999999999996, -0.22499999999999987, -0.12499999999999989, -0.12499999999999989]",CSR_S5254,1.025,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_010""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1""],[""Pwind [MW]"",""0""],[""Pbess [MW]"",""-350""],[""t=0"",""steady-state""],[""Test Type"",""LVRT Pyramid""]]",-1,-1,1.025,1,1,1.039695131403352,1.025,0,-350,"[1, 3, 11, 21]","[-0.32499999999999996, -0.22499999999999987, -0.12499999999999989, -0.12499999999999989]",1,21
,,s5254_VpocPyramid_011,LVRT Pyramid,Droop,,-1,-1,1.035304868596648,1.05,-1,1226,0,"[1, 3, 11, 21]","[-0.3500000000000001, -0.25, -0.15000000000000002, -0.15000000000000002]",CSR_S5254,1.05,,"[[""Filename/Int. Ref."",""s5254_VpocPyramid_011""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Test Type"",""LVRT Pyramid""]]",-1,-1,1.05,-1,1,1.035304868596648,1.05,1226,0,"[1, 3, 11, 21]","[-0.3500000000000001, -0.25, -0.15000000000000002, -0.15000000000000002]",1,21
