Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,OV_pu,Fault_Time,Fault_Duration,Post_Fault_Duration,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,TOV_Shunt_uF_v,TOV_Timing_Signal_t,TOV_Timing_Signal_v,Table_Data
,,s5255_Fault_TOV_002,OV ~1.17pu,Droop,,2528,10,1.0375,1.0375,0.0,1226,0,1.17,0.5,0.43,2,CSR_S5255,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,1226,0,0,2.9299999999999997,0.969525425661989,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_002""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.17pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.17],[""Shunt uF"",0.969525425661989]]"
,,s5255_Fault_TOV_003,OV ~1.20pu,Droop,,2528,10,1.0375,1.0375,0.0,1226,0,1.2,0.5,0.43,2,CSR_S5255,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,1226,0,0,2.9299999999999997,1.229105827584539,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_003""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.20pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.2],[""Shunt uF"",1.229105827584539]]"
,,s5255_Fault_TOV_004,OV ~1.23pu,Droop,,2528,10,1.0375,1.0375,0.0,1226,0,1.23,0.5,0.43,2,CSR_S5255,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,1226,0,0,2.9299999999999997,1.5032752260973874,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_004""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.23pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.23],[""Shunt uF"",1.5032752260973874]]"
,,s5255_Fault_TOV_005,OV ~1.17pu,Droop,,2528,10,1.0375,1.0375,0.0,876,350,1.17,0.5,0.43,2,CSR_S5255,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,876,350,0,2.9299999999999997,0.969525425661989,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_005""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.17pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.17],[""Shunt uF"",0.969525425661989]]"
,,s5255_Fault_TOV_006,OV ~1.20pu,Droop,,2528,10,1.0375,1.0375,0.0,876,350,1.2,0.5,0.43,2,CSR_S5255,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,876,350,0,2.9299999999999997,1.229105827584539,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_006""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.20pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.2],[""Shunt uF"",1.229105827584539]]"
,,s5255_Fault_TOV_007,OV ~1.23pu,Droop,,2528,10,1.0375,1.0375,0.0,876,350,1.23,0.5,0.43,2,CSR_S5255,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,876,350,0,2.9299999999999997,1.5032752260973874,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_007""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.23pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.23],[""Shunt uF"",1.5032752260973874]]"
,,s5255_Fault_TOV_008,OV ~1.17pu,Droop,,2528,10,1.0375,1.0375,0.0,0,-350,1.17,0.5,0.43,2,CSR_S5255,1.0591347025123146,,2528,10,1.0375,0.0,1,1.0375,1.0591347025123146,0,-350,0,2.9299999999999997,1.1493167026074345,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_008""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0""],[""Pbess [MW]"",""-350""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.17pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.17],[""Shunt uF"",1.1493167026074345]]"
,,s5255_Fault_TOV_009,OV ~1.20pu,Droop,,2528,10,1.0375,1.0375,0.0,0,-350,1.2,0.5,0.43,2,CSR_S5255,1.0591347025123146,,2528,10,1.0375,0.0,1,1.0375,1.0591347025123146,0,-350,0,2.9299999999999997,1.4466300358738486,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_009""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0""],[""Pbess [MW]"",""-350""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.20pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.2],[""Shunt uF"",1.4466300358738486]]"
,,s5255_Fault_TOV_010,OV ~1.23pu,Droop,,2528,10,1.0375,1.0375,0.0,0,-350,1.23,0.5,0.43,2,CSR_S5255,1.0591347025123146,,2528,10,1.0375,0.0,1,1.0375,1.0591347025123146,0,-350,0,2.9299999999999997,1.7576373385308977,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_010""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0""],[""Pbess [MW]"",""-350""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.23pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.23],[""Shunt uF"",1.7576373385308977]]"
,,s5255_Fault_TOV_011,OV ~1.17pu,Droop,,2528,10,1.0381585394210056,1.03375,0.3,1226,0,1.17,0.5,0.43,2,CSR_S5255,1.0412149100929873,,2528,10,1.03375,0.3,1,1.0381585394210056,1.0412149100929873,1226,0,0,2.9299999999999997,1.4665114441075258,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]","[[""Filename/Int. Ref."",""s5255_Fault_TOV_011""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.17pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.17],[""Shunt uF"",1.4665114441075258]]"
