Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Load_MW,Post_Load_Trip_Duration,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,PLR_Timing_Signal_t,PLR_Timing_Signal_v,PLR_Load_MW_gs
,,s5257_PartLoadRej_002,PartLoadRej,Droop,,2528,10,1.0368414605789944,1.04125,-0.3,1226,0,367.8,5,CSR_S5257,1.148252649894332,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_002""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",2528,10,1.04125,-0.3,1,1.0368414605789944,1.148252649894332,1226,0,0,5.5,"[0, 0.5]","[0, 1]",367.8
,,s5257_PartLoadRej_003,PartLoadRej,Droop,,2528,10,1.0368414605789944,1.04125,-0.3,876,350,367.8,5,CSR_S5257,1.148252649894332,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_003""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",2528,10,1.04125,-0.3,1,1.0368414605789944,1.148252649894332,876,350,0,5.5,"[0, 0.5]","[0, 1]",367.8
,,s5257_PartLoadRej_004,PartLoadRej,Droop,,2528,10,1.0375,1.0375,0.0,1226,0,367.8,5,CSR_S5257,1.0947116114018198,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_004""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,1226,0,0,5.5,"[0, 0.5]","[0, 1]",367.8
,,s5257_PartLoadRej_005,PartLoadRej,Droop,,2528,10,1.0375,1.0375,0.0,876,350,367.8,5,CSR_S5257,1.0947116114018198,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_005""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,876,350,0,5.5,"[0, 0.5]","[0, 1]",367.8
,,s5257_PartLoadRej_006,PartLoadRej,Droop,,2528,10,1.0381585394210056,1.03375,0.3,1226,0,367.8,5,CSR_S5257,1.0412149100929873,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_006""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",2528,10,1.03375,0.3,1,1.0381585394210056,1.0412149100929873,1226,0,0,5.5,"[0, 0.5]","[0, 1]",367.8
,,s5257_PartLoadRej_007,PartLoadRej,Droop,,2528,10,1.0381585394210056,1.03375,0.3,876,350,367.8,5,CSR_S5257,1.0412149100929873,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_007""],[""Fault Level [MVA]"",""2528""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",2528,10,1.03375,0.3,1,1.0381585394210056,1.0412149100929873,876,350,0,5.5,"[0, 0.5]","[0, 1]",367.8
,,s5257_PartLoadRej_008,PartLoadRej,Droop,,1500,10,1.0368414605789944,1.04125,-0.3,1226,0,367.8,5,CSR_S5257,1.3164025489574032,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_008""],[""Fault Level [MVA]"",""1500""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",1500,10,1.04125,-0.3,1,1.0368414605789944,1.3164025489574032,1226,0,0,5.5,"[0, 0.5]","[0, 1]",367.8
,,s5257_PartLoadRej_009,PartLoadRej,Droop,,1500,10,1.0368414605789944,1.04125,-0.3,876,350,367.8,5,CSR_S5257,1.3164025489574032,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_009""],[""Fault Level [MVA]"",""1500""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",1500,10,1.04125,-0.3,1,1.0368414605789944,1.3164025489574032,876,350,0,5.5,"[0, 0.5]","[0, 1]",367.8
,,s5257_PartLoadRej_010,PartLoadRej,Droop,,1500,10,1.0375,1.0375,0.0,1226,0,367.8,5,CSR_S5257,1.2386951830136483,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_010""],[""Fault Level [MVA]"",""1500""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1226""],[""Pbess [MW]"",""0""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",1500,10,1.0375,0.0,1,1.0375,1.2386951830136483,1226,0,0,5.5,"[0, 0.5]","[0, 1]",367.8
,,s5257_PartLoadRej_011,PartLoadRej,Droop,,1500,10,1.0375,1.0375,0.0,876,350,367.8,5,CSR_S5257,1.2386951830136483,,"[[""Filename/Int. Ref."",""s5257_PartLoadRej_011""],[""Fault Level [MVA]"",""1500""],[""X2R"",""10""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""876""],[""Pbess [MW]"",""350""],[""t=0"",""steady-state""],[""PLR Load_MW"",367.8],[""Load Trip Time"",""0.5 s""]]",1500,10,1.0375,0.0,1,1.0375,1.2386951830136483,876,350,0,5.5,"[0, 0.5]","[0, 1]",367.8
