Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Delta_Vpoc,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vpoc_disturbance_pu_t,Vpoc_disturbance_pu_v,Vpoc_disturbance_pu_r
,,s52513_VgridSteps_002,u5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0390365919823463,1.0287499999999998,0.6999999999999982,1100.0,0.0,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,0.9232692068627459,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_002""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.6999999999999982""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",3000.0,5.0,1.0390365919823463,0.9232692068627459,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.048602673147023094, 0.048602673147023094]","[false, false, false]"
,,s52513_VgridSteps_003,u5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0390365919823463,1.0287499999999998,0.6999999999999982,750.0,350.0,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,0.9232692068627459,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_003""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.6999999999999982""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",3000.0,5.0,1.0390365919823463,0.9232692068627459,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.048602673147023094, 0.048602673147023094]","[false, false, false]"
,,s52513_VgridSteps_004,u5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0390365919823463,1.0287499999999998,0.6999999999999982,0.0,-350.0,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,0.9632398456170981,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_004""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.6999999999999982""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",3000.0,5.0,1.0390365919823463,0.9632398456170981,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.048602673147023094, 0.048602673147023094]","[false, false, false]"
,,s52513_VgridSteps_005,u5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0390365919823463,1.0287499999999998,0.6999999999999982,1100.0,0.0,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,0.9187302167106138,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_005""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.6999999999999982""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",2500.0,5.0,1.0390365919823463,0.9187302167106138,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.048602673147023094, 0.048602673147023094]","[false, false, false]"
,,s52513_VgridSteps_006,u5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0390365919823463,1.0287499999999998,0.6999999999999982,750.0,350.0,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,0.9187302167106138,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_006""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.6999999999999982""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",2500.0,5.0,1.0390365919823463,0.9187302167106138,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.048602673147023094, 0.048602673147023094]","[false, false, false]"
,,s52513_VgridSteps_007,u5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0390365919823463,1.0287499999999998,0.6999999999999982,0.0,-350.0,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,0.9524439233885079,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_007""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.6999999999999982""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",2500.0,5.0,1.0390365919823463,0.9524439233885079,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.048602673147023094, 0.048602673147023094]","[false, false, false]"
,,s52513_VgridSteps_008,d5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0359634080176536,1.0462500000000001,-0.6999999999999982,1100.0,0.0,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.1321927238793497,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_008""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.6999999999999982""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",3000.0,5.0,1.0359634080176536,1.1321927238793497,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04778972520908004, -0.04778972520908004]","[false, false, false]"
,,s52513_VgridSteps_009,d5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0359634080176536,1.0462500000000001,-0.6999999999999982,750.0,350.0,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.1321927238793497,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_009""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.6999999999999982""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",3000.0,5.0,1.0359634080176536,1.1321927238793497,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04778972520908004, -0.04778972520908004]","[false, false, false]"
,,s52513_VgridSteps_010,d5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0359634080176536,1.0462500000000001,-0.6999999999999982,0.0,-350.0,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.1666416898889234,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_010""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.6999999999999982""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",3000.0,5.0,1.0359634080176536,1.1666416898889234,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04778972520908004, -0.04778972520908004]","[false, false, false]"
,,s52513_VgridSteps_011,d5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0359634080176536,1.0462500000000001,-0.6999999999999982,1100.0,0.0,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.1623403969793829,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_011""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.6999999999999982""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",2500.0,5.0,1.0359634080176536,1.1623403969793829,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04778972520908004, -0.04778972520908004]","[false, false, false]"
,,s52513_VgridSteps_012,d5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0359634080176536,1.0462500000000001,-0.6999999999999982,750.0,350.0,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.1623403969793829,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_012""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.6999999999999982""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",2500.0,5.0,1.0359634080176536,1.1623403969793829,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04778972520908004, -0.04778972520908004]","[false, false, false]"
