Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Vref_Deltas,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vref_pu_t,Vref_pu_v
,,s52513_VrefSteps_002,d5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0390365919823463,1.0287499999999998,0.7,1100.0,0.0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,0.9232692068627459,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_002""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.7""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",3000.0,5.0,0.9232692068627459,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.0390365919823463, 0.9890365919823463, 0.9890365919823463]"
,,s52513_VrefSteps_003,d5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0390365919823463,1.0287499999999998,0.7,750.0,350.0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,0.9232692068627459,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_003""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.7""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",3000.0,5.0,0.9232692068627459,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.0390365919823463, 0.9890365919823463, 0.9890365919823463]"
,,s52513_VrefSteps_004,d5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0390365919823463,1.0287499999999998,0.7,0.0,-350.0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,0.9632398456170981,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_004""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.7""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",3000.0,5.0,0.9632398456170981,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.0390365919823463, 0.9890365919823463, 0.9890365919823463]"
,,s52513_VrefSteps_005,d5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0390365919823463,1.0287499999999998,0.7,1100.0,0.0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,0.9187302167106138,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_005""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.7""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",2500.0,5.0,0.9187302167106138,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.0390365919823463, 0.9890365919823463, 0.9890365919823463]"
,,s52513_VrefSteps_006,d5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0390365919823463,1.0287499999999998,0.7,750.0,350.0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,0.9187302167106138,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_006""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.7""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",2500.0,5.0,0.9187302167106138,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.0390365919823463, 0.9890365919823463, 0.9890365919823463]"
,,s52513_VrefSteps_007,d5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0390365919823463,1.0287499999999998,0.7,0.0,-350.0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,0.9524439233885079,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_007""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0287""],[""Qpoc [.pu]"",""0.7""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",2500.0,5.0,0.9524439233885079,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.0390365919823463, 0.9890365919823463, 0.9890365919823463]"
,,s52513_VrefSteps_008,u5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0359634080176536,1.0462500000000001,-0.7,1100.0,0.0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.1321927238793497,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_008""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.7""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",3000.0,5.0,1.1321927238793497,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.0359634080176536, 1.0859634080176537, 1.0859634080176537]"
,,s52513_VrefSteps_009,u5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0359634080176536,1.0462500000000001,-0.7,750.0,350.0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.1321927238793497,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_009""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.7""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",3000.0,5.0,1.1321927238793497,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.0359634080176536, 1.0859634080176537, 1.0859634080176537]"
,,s52513_VrefSteps_010,u5%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0359634080176536,1.0462500000000001,-0.7,0.0,-350.0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.1666416898889234,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_010""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.7""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",3000.0,5.0,1.1666416898889234,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.0359634080176536, 1.0859634080176537, 1.0859634080176537]"
,,s52513_VrefSteps_011,u5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0359634080176536,1.0462500000000001,-0.7,1100.0,0.0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.1623403969793829,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_011""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.7""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",2500.0,5.0,1.1623403969793829,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.0359634080176536, 1.0859634080176537, 1.0859634080176537]"
