Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Post_Init_Duration,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s
,,s5251_FlatRun_002,FlatRun,Droop,,3000.0,5.0,1.035304868596648,1.05,-1.0,1100.0,0.0,10,CSR_S5251,1.1763054837802749,,"[[""Filename/Int. Ref."",""s5251_FlatRun_002""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.035304868596648,1.1763054837802749,1100.0,0.0,0,10
,,s5251_FlatRun_003,FlatRun,Droop,,3000.0,5.0,1.035304868596648,1.05,-1.0,750.0,350.0,10,CSR_S5251,1.1763054837802749,,"[[""Filename/Int. Ref."",""s5251_FlatRun_003""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.035304868596648,1.1763054837802749,750.0,350.0,0,10
,,s5251_FlatRun_004,FlatRun,Droop,,3000.0,5.0,1.035304868596648,1.05,-1.0,0.0,-350.0,10,CSR_S5251,1.2098240064122732,,"[[""Filename/Int. Ref."",""s5251_FlatRun_004""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.035304868596648,1.2098240064122732,0.0,-350.0,0,10
,,s5251_FlatRun_005,FlatRun,Droop,,3000.0,5.0,1.0368414605789944,1.04125,-0.3,1100.0,0.0,10,CSR_S5251,1.0730051213830294,,"[[""Filename/Int. Ref."",""s5251_FlatRun_005""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.0368414605789944,1.0730051213830294,1100.0,0.0,0,10
,,s5251_FlatRun_006,FlatRun,Droop,,3000.0,5.0,1.0368414605789944,1.04125,-0.3,750.0,350.0,10,CSR_S5251,1.0730051213830294,,"[[""Filename/Int. Ref."",""s5251_FlatRun_006""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.0368414605789944,1.0730051213830294,750.0,350.0,0,10
,,s5251_FlatRun_007,FlatRun,Droop,,3000.0,5.0,1.0368414605789944,1.04125,-0.3,0.0,-350.0,10,CSR_S5251,1.1088145830870306,,"[[""Filename/Int. Ref."",""s5251_FlatRun_007""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.0368414605789944,1.1088145830870306,0.0,-350.0,0,10
,,s5251_FlatRun_008,FlatRun,Droop,,3000.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,10,CSR_S5251,1.0283428232692884,,"[[""Filename/Int. Ref."",""s5251_FlatRun_008""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.0375,1.0283428232692884,1100.0,0.0,0,10
,,s5251_FlatRun_009,FlatRun,Droop,,3000.0,5.0,1.0375,1.0375,0.0,750.0,350.0,10,CSR_S5251,1.0283428232692884,,"[[""Filename/Int. Ref."",""s5251_FlatRun_009""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.0375,1.0283428232692884,750.0,350.0,0,10
,,s5251_FlatRun_010,FlatRun,Droop,,3000.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,10,CSR_S5251,1.0652753817073033,,"[[""Filename/Int. Ref."",""s5251_FlatRun_010""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.0375,1.0652753817073033,0.0,-350.0,0,10
,,s5251_FlatRun_011,FlatRun,Droop,,3000.0,5.0,1.0381585394210056,1.03375,0.3,1100.0,0.0,10,CSR_S5251,0.9834550193448953,,"[[""Filename/Int. Ref."",""s5251_FlatRun_011""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.0381585394210056,0.9834550193448953,1100.0,0.0,0,10
,,s5251_FlatRun_012,FlatRun,Droop,,3000.0,5.0,1.0381585394210056,1.03375,0.3,750.0,350.0,10,CSR_S5251,0.9834550193448953,,"[[""Filename/Int. Ref."",""s5251_FlatRun_012""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.0381585394210056,0.9834550193448953,750.0,350.0,0,10
,,s5251_FlatRun_013,FlatRun,Droop,,3000.0,5.0,1.0381585394210056,1.03375,0.3,0.0,-350.0,10,CSR_S5251,1.0216117363437434,,"[[""Filename/Int. Ref."",""s5251_FlatRun_013""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.0381585394210056,1.0216117363437434,0.0,-350.0,0,10
,,s5251_FlatRun_014,FlatRun,Droop,,3000.0,5.0,1.039695131403352,1.025,1.0,1100.0,0.0,10,CSR_S5251,0.8778935257994813,,"[[""Filename/Int. Ref."",""s5251_FlatRun_014""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.039695131403352,0.8778935257994813,1100.0,0.0,0,10
,,s5251_FlatRun_015,FlatRun,Droop,,3000.0,5.0,1.039695131403352,1.025,1.0,750.0,350.0,10,CSR_S5251,0.8778935257994813,,"[[""Filename/Int. Ref."",""s5251_FlatRun_015""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.039695131403352,0.8778935257994813,750.0,350.0,0,10
,,s5251_FlatRun_016,FlatRun,Droop,,3000.0,5.0,1.039695131403352,1.025,1.0,0.0,-350.0,10,CSR_S5251,0.9193829817152368,,"[[""Filename/Int. Ref."",""s5251_FlatRun_016""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",3000.0,5.0,1.039695131403352,0.9193829817152368,0.0,-350.0,0,10
,,s5251_FlatRun_017,FlatRun,Droop,,2500.0,5.0,1.035304868596648,1.05,-1.0,1100.0,0.0,10,CSR_S5251,1.213987925185961,,"[[""Filename/Int. Ref."",""s5251_FlatRun_017""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.035304868596648,1.213987925185961,1100.0,0.0,0,10
,,s5251_FlatRun_018,FlatRun,Droop,,2500.0,5.0,1.035304868596648,1.05,-1.0,750.0,350.0,10,CSR_S5251,1.213987925185961,,"[[""Filename/Int. Ref."",""s5251_FlatRun_018""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.035304868596648,1.213987925185961,750.0,350.0,0,10
,,s5251_FlatRun_019,FlatRun,Droop,,2500.0,5.0,1.035304868596648,1.05,-1.0,0.0,-350.0,10,CSR_S5251,1.2423519106943521,,"[[""Filename/Int. Ref."",""s5251_FlatRun_019""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.035304868596648,1.2423519106943521,0.0,-350.0,0,10
,,s5251_FlatRun_020,FlatRun,Droop,,2500.0,5.0,1.0368414605789944,1.04125,-0.3,1100.0,0.0,10,CSR_S5251,1.0931360153487637,,"[[""Filename/Int. Ref."",""s5251_FlatRun_020""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0368414605789944,1.0931360153487637,1100.0,0.0,0,10
,,s5251_FlatRun_021,FlatRun,Droop,,2500.0,5.0,1.0368414605789944,1.04125,-0.3,750.0,350.0,10,CSR_S5251,1.0931360153487637,,"[[""Filename/Int. Ref."",""s5251_FlatRun_021""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0368414605789944,1.0931360153487637,750.0,350.0,0,10
,,s5251_FlatRun_022,FlatRun,Droop,,2500.0,5.0,1.0368414605789944,1.04125,-0.3,0.0,-350.0,10,CSR_S5251,1.1233673936338733,,"[[""Filename/Int. Ref."",""s5251_FlatRun_022""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0368414605789944,1.1233673936338733,0.0,-350.0,0,10
,,s5251_FlatRun_023,FlatRun,Droop,,2500.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,10,CSR_S5251,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5251_FlatRun_023""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,1100.0,0.0,0,10
,,s5251_FlatRun_024,FlatRun,Droop,,2500.0,5.0,1.0375,1.0375,0.0,750.0,350.0,10,CSR_S5251,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5251_FlatRun_024""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,750.0,350.0,0,10
