Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,OV_pu,Fault_Time,Fault_Duration,Post_Fault_Duration,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,TOV_Shunt_uF_v,TOV_Timing_Signal_t,TOV_Timing_Signal_v
,,s5255_Fault_TOV_002,OV ~1.17pu,Droop,,3000.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,1.17,0.5,0.43,5,CSR_S5255,1.0283428232692884,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_002""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.17pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.17],[""Shunt uF"",1.2701289980085888]]",3000.0,5.0,1.0375,1.0283428232692884,1100.0,0.0,0,5.93,1.2701289980085888,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
,,s5255_Fault_TOV_003,OV ~1.20pu,Droop,,3000.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,1.2,0.5,0.43,5,CSR_S5255,1.0283428232692884,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_003""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.20pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.2],[""Shunt uF"",1.6048899792492037]]",3000.0,5.0,1.0375,1.0283428232692884,1100.0,0.0,0,5.93,1.6048899792492037,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
,,s5255_Fault_TOV_004,OV ~1.23pu,Droop,,3000.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,1.23,0.5,0.43,5,CSR_S5255,1.0283428232692884,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_004""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.23pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.23],[""Shunt uF"",1.9570019388087856]]",3000.0,5.0,1.0375,1.0283428232692884,1100.0,0.0,0,5.93,1.9570019388087856,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
,,s5255_Fault_TOV_005,OV ~1.17pu,Droop,,3000.0,5.0,1.0375,1.0375,0.0,750.0,350.0,1.17,0.5,0.43,5,CSR_S5255,1.0283428232692884,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_005""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.17pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.17],[""Shunt uF"",1.2701289980085888]]",3000.0,5.0,1.0375,1.0283428232692884,750.0,350.0,0,5.93,1.2701289980085888,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
,,s5255_Fault_TOV_006,OV ~1.20pu,Droop,,3000.0,5.0,1.0375,1.0375,0.0,750.0,350.0,1.2,0.5,0.43,5,CSR_S5255,1.0283428232692884,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_006""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.20pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.2],[""Shunt uF"",1.6048899792492037]]",3000.0,5.0,1.0375,1.0283428232692884,750.0,350.0,0,5.93,1.6048899792492037,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
,,s5255_Fault_TOV_007,OV ~1.23pu,Droop,,3000.0,5.0,1.0375,1.0375,0.0,750.0,350.0,1.23,0.5,0.43,5,CSR_S5255,1.0283428232692884,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_007""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.23pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.23],[""Shunt uF"",1.9570019388087856]]",3000.0,5.0,1.0375,1.0283428232692884,750.0,350.0,0,5.93,1.9570019388087856,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
,,s5255_Fault_TOV_008,OV ~1.17pu,Droop,,3000.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,1.17,0.5,0.43,5,CSR_S5255,1.0652753817073033,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_008""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.17pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.17],[""Shunt uF"",1.3922866504312374]]",3000.0,5.0,1.0375,1.0652753817073033,0.0,-350.0,0,5.93,1.3922866504312374,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
,,s5255_Fault_TOV_009,OV ~1.20pu,Droop,,3000.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,1.2,0.5,0.43,5,CSR_S5255,1.0652753817073033,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_009""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.20pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.2],[""Shunt uF"",1.7529512499148445]]",3000.0,5.0,1.0375,1.0652753817073033,0.0,-350.0,0,5.93,1.7529512499148445,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
,,s5255_Fault_TOV_010,OV ~1.23pu,Droop,,3000.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,1.23,0.5,0.43,5,CSR_S5255,1.0652753817073033,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_010""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.23pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.23],[""Shunt uF"",2.130442495742658]]",3000.0,5.0,1.0375,1.0652753817073033,0.0,-350.0,0,5.93,2.130442495742658,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
,,s5255_Fault_TOV_011,OV ~1.17pu,Droop,,3000.0,5.0,1.0381585394210056,1.03375,0.3,1100.0,0.0,1.17,0.5,0.43,5,CSR_S5255,0.9834550193448953,,"[[""Filename/Int. Ref."",""s5255_Fault_TOV_011""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""OV ~1.17pu""],[""O.V. Duration"",0.43],[""O.V. [pu.]"",1.17],[""Shunt uF"",1.7494146054942636]]",3000.0,5.0,1.0381585394210056,0.9834550193448953,1100.0,0.0,0,5.93,1.7494146054942636,"[0, 0.5, 0.9299999999999999]","[0, 1, 0]"
